,0
0,0.8540145985401459
1,0.8175182481751825
2,0.8686131386861314
3,0.6934306569343066
4,0.8540145985401459
5,0.6962962962962963
6,0.6666666666666666
7,0.6370370370370371
8,0.6148148148148148
9,0.5481481481481482
10,0.9111111111111111
11,0.8666666666666667
12,0.8148148148148148
13,0.837037037037037
14,0.837037037037037
15,0.5267175572519084
16,0.5038167938931297
17,0.6335877862595419
18,0.6030534351145038
19,0.5954198473282443
20,0.6870229007633588
21,0.6870229007633588
22,0.7938931297709924
23,0.6793893129770993
24,0.7251908396946565
25,0.4909090909090909
26,0.41818181818181815
27,0.509090909090909
28,0.42727272727272725
29,0.43636363636363634
30,0.8602941176470589
31,0.7941176470588235
32,0.9044117647058824
33,0.8529411764705882
34,0.8602941176470589
35,0.8712121212121212
36,0.8484848484848485
37,0.8333333333333334
38,0.8787878787878788
39,0.8636363636363636
40,0.7563025210084033
41,0.8487394957983193
42,0.8403361344537815
43,0.8151260504201681
44,0.8487394957983193
