,0
0,0.3284671532846715
1,0.8394160583941606
2,0.8102189781021898
3,0.7445255474452555
4,0.31386861313868614
5,0.8175182481751825
6,0.8175182481751825
7,0.3722627737226277
8,0.8248175182481752
9,0.8905109489051095
10,0.8613138686131386
11,0.8248175182481752
12,0.3284671532846715
13,0.43795620437956206
14,0.8905109489051095
15,0.32116788321167883
16,0.31386861313868614
17,0.7883211678832117
18,0.40145985401459855
19,0.8394160583941606
20,0.6074074074074074
21,0.6814814814814815
22,0.6370370370370371
23,0.5555555555555556
24,0.43703703703703706
25,0.6444444444444445
26,0.6518518518518519
27,0.6592592592592592
28,0.5703703703703704
29,0.6592592592592592
30,0.6148148148148148
31,0.5333333333333333
32,0.3925925925925926
33,0.6148148148148148
34,0.6962962962962963
35,0.5851851851851851
36,0.6222222222222222
37,0.5851851851851851
38,0.5259259259259259
39,0.6222222222222222
40,0.8888888888888888
41,0.8962962962962963
42,0.8518518518518519
43,0.26666666666666666
44,0.2962962962962963
45,0.8148148148148148
46,0.22962962962962963
47,0.3037037037037037
48,0.8444444444444444
49,0.9185185185185185
50,0.3111111111111111
51,0.26666666666666666
52,0.9111111111111111
53,0.8888888888888888
54,0.7851851851851852
55,0.8
56,0.8592592592592593
57,0.7925925925925926
58,0.37777777777777777
59,0.25925925925925924
60,0.4732824427480916
61,0.46564885496183206
62,0.6259541984732825
63,0.48091603053435117
64,0.5877862595419847
65,0.6259541984732825
66,0.5267175572519084
67,0.5419847328244275
68,0.5343511450381679
69,0.549618320610687
70,0.5267175572519084
71,0.6030534351145038
72,0.6030534351145038
73,0.45038167938931295
74,0.5877862595419847
75,0.5419847328244275
76,0.5954198473282443
77,0.5877862595419847
78,0.6106870229007634
79,0.5114503816793893
80,0.5572519083969466
81,0.648854961832061
82,0.7022900763358778
83,0.6335877862595419
84,0.6183206106870229
85,0.46564885496183206
86,0.7175572519083969
87,0.6183206106870229
88,0.6259541984732825
89,0.6870229007633588
90,0.6412213740458015
91,0.6259541984732825
92,0.6793893129770993
93,0.6641221374045801
94,0.6259541984732825
95,0.6259541984732825
96,0.5038167938931297
97,0.6335877862595419
98,0.5725190839694656
99,0.6793893129770993
100,0.4727272727272727
101,0.44545454545454544
102,0.4818181818181818
103,0.4
104,0.4636363636363636
105,0.36363636363636365
106,0.4727272727272727
107,0.4909090909090909
108,0.4727272727272727
109,0.5909090909090909
110,0.42727272727272725
111,0.5636363636363636
112,0.5545454545454546
113,0.5181818181818182
114,0.35454545454545455
115,0.5909090909090909
116,0.5363636363636364
117,0.5181818181818182
118,0.41818181818181815
119,0.4636363636363636
120,0.8455882352941176
121,0.7426470588235294
122,0.4632352941176471
123,0.8676470588235294
124,0.8676470588235294
125,0.7941176470588235
126,0.8602941176470589
127,0.8823529411764706
128,0.8602941176470589
129,0.8602941176470589
130,0.41911764705882354
131,0.34558823529411764
132,0.4338235294117647
133,0.8088235294117647
134,0.7794117647058824
135,0.38235294117647056
136,0.4338235294117647
137,0.7058823529411765
138,0.8529411764705882
139,0.8970588235294118
140,0.8863636363636364
141,0.3409090909090909
142,0.4772727272727273
143,0.8863636363636364
144,0.8863636363636364
145,0.4090909090909091
146,0.4318181818181818
147,0.45454545454545453
148,0.8333333333333334
149,0.4318181818181818
150,0.8636363636363636
151,0.7651515151515151
152,0.8333333333333334
153,0.8181818181818182
154,0.42424242424242425
155,0.803030303030303
156,0.4166666666666667
157,0.9015151515151515
158,0.3560606060606061
159,0.3787878787878788
160,0.4117647058823529
161,0.6302521008403361
162,0.6386554621848739
163,0.44537815126050423
164,0.6386554621848739
165,0.4957983193277311
166,0.5882352941176471
167,0.4957983193277311
168,0.35294117647058826
169,0.6890756302521008
170,0.6890756302521008
171,0.6470588235294118
172,0.6218487394957983
173,0.6638655462184874
174,0.680672268907563
175,0.48739495798319327
176,0.6722689075630253
177,0.40336134453781514
178,0.6050420168067226
179,0.4789915966386555
